Subject,EmailBody,label
Trending this week at Coursera,Ready to learn something new Coursera Recommendations for you We combed our catalog and found courses that we think match your interests Browse our recommendations below and start learning something new today!,INBOX
DevJams21 - Registrations close in 5 days,"Greetings from GDSC VIT We are organizing the 6th edition of our flagship hackathon DevJams from 20th to 22nd November 2021 which aims to encourage healthy competition in order to incubate futuristic ideas! DevJams’21 will be an opportunity for students and upcoming entrepreneurs to showcase their potential and skills by providing them with a platform to develop, compete and network to solve real-world problems. With DevJams’21 we hope to bring innovative minds from all around the globe who attempt to create something phenomenal over 48 hours of brainstorming, ideation, and execution. 

Registrations close in 5 days! Visit our Devjams website and register soon to stand a chance to win exciting goodies as well as compete for a gripping prize pool. 

The team in the 1st place will be rewarded Rs. 1,00,000                                             The team in the 2nd place will be rewarded Rs. 75,000 
The team in the 3rd place will be rewarded Rs. 50,000 
The team with the Best Idea will be rewarded Rs. 15,000                                          The best fresher's team will be rewarded Rs. 10,000 ",INBOX
Idea Phase Extended Top 75 Relevant Idea Submissions get INR 750 Bharat BillPay  I3  Innovate  Ideate  Implement Hackathon,"Hello,

We are happy to let you know that we have extended the Idea Submission Phase for I3 – Innovate – Ideate – Implement Hackathon. If you haven't done so already, you now have some more time! So, please log in and submit your ideas before the revised deadline.
 
There are prizes worth up to INR 6,00,000 up for grabs along with INR 750 for the top 75 relevant submissions.
 
Revised Last Date: Nov 28, 2021 11:59 PM IST

We look forward to receiving your idea.",INBOX
No Fee November is here,"Hey VENKAT,
Sure you would have heard of the ""No Shave November"". 
 
We thought of taking it one step forward - ""No Fees November"" meaning, no fees on coding courses this month. 
 
All you gotta do is register for the Scholarship Test. ",INBOX
Thank you for participating in the Accenture Innovation Challenge 2021,HackerEarth venkatsiddarthv2019 This email was sent to venkatsiddarthv2019vitstudentacin because you have registered for the sprint. To unsubscribe to this category of emails click here,INBOX
FW Online workshop on Genomic Data Analysis on 4th Dec21 - VITTBI,"Dear Students/ Research scholars,
 
The BioIncubation centre at VIT-TBI is organizing an online hands-on workshop on ""Genomic data analysis"" on 4.12.2021 (Saturday). Interested participants can register with the given link.
 
For details of the workshop:",INBOX
FW CALL FOR GRAPHIC DESIGNERS VIT  House Of Babas,"Greetings to all,

We are House Of Babas, a sustainable fashion technology and lifestyle brand aiming to redefine the fashion industry with our approach to more eco-friendly fashion concepts for the Indian market. Previously branded as Humourbaba.com, we are the front runners in the fashion and sustainability market and are currently incubated in VITTBI and affiliated with NIFT-TEA.
We are very excited to announce the first set of internship vacancies available in the company in the graphic designing space. So, we are CALLING ALL GRAPHIC DESIGNERS who are eager to learn and grow their skills under the guidance of industry leaders and also get a chance to work on real-life projects that bring about a change in the society.
Kindly find the under-mentioned internship profile we are looking for:",INBOX
Webinar by Radboud University Netherlands -17 Nov 2021 at 11 am,Dear Students You are invited to attend the webinar by Radboud University Netherlands -17 Nov 2021 at 1100 AM Topic- Higher Education opportunities in Radboud University Netherlands Registration,INBOX
Participate in this Hackathon by a leading firm bag prizes from a pool of INR 8.75 Lakhs,"Dear Innovators,
Kotak Mahindra Bank presents to you, REIGN, a unique hackathon inviting the best minds to come up with ground-breaking ideas/solutions on any one of the five dynamic tracks aligned. Spanning across two stages, participants will work towards building prototypes that customers love and use every day.
Eligibility: 3rd/4th year (B.E./B.Tech) and 4th/5th-year Integrated/Dual Degree engineering students across all Indian engineering colleges.
Stand at the forefront of revolutionizing the banking industry and heighten your chance to win rewards worth INR 8.75 Lakh along with participation certificates",INBOX
CLiQ  Create - Your Chance to Click in the Reel Life  Tata CLiQ,"Dear Students

We are running this competition at Tata CLiQ and we would encourage all students to register with the link below CALLING ALL CREATIVE MINDS! 
Register on this link by 19th Nov'21 | Reels to be posted from 24th Nov'21 And what's more - you get an assured coupon of Rs. 200 off* just for registering.
Still not convinced? The top 2 winning teams will get a direct entry into the
final round of an upcoming case study competition by Tata CLiQ!
Register on this link by 19th Nov'21 | Reels to be posted from 24th Nov'21
Start CLiQing and Creating!",INBOX
